,No,UID,code,crawl state,date,title,url
0,0,FJN7U4PM0519FM90,000002,empty,2020-08-10,碧桂园、金辉、雅居乐，在重庆“翻车”？,http://dy.163.com/article/FJN7U4PM0519FM90.html
1,1,F96VI5SQ00259DLP,000002,half,2020-04-02,价值53亿！王石率万科员工集体捐赠2亿股万科股票,https://money.163.com/20/0402/10/F96VI5SQ00259DLP.html
2,2,F96NA9Q500259DLP,000002,half,2020-04-02,中签1单最大获利超13万 科创板一季度榜单全面揭晓,https://money.163.com/20/0402/07/F96NA9Q500259DLP.html
3,6,F8V89M2300259DLP,000002,half,2020-03-30,楼市“魔幻重启”！ 一大波抢房潮正在上演,https://money.163.com/20/0330/10/F8V89M2300259DLP.html
4,8,F8LA2T7600259DLP,000002,half,2020-03-26,年报低估值高股息高增长龙头股名单来了 仅11只！,https://money.163.com/20/0326/13/F8LA2T7600259DLP.html
5,16,FI7VMO7P00259DLP,000002,half,2020-07-23,扎心！ 这两年你买的房 可能是一个五星级的坑,https://money.163.com/20/0723/16/FI7VMO7P00259DLP.html
6,19,FHSQ8CLN00259DLP,000002,half,2020-07-18,315道歉声刚落 万科精装房又现玻璃门炸裂伤人事件,https://money.163.com/20/0719/07/FHSQ8CLN00259DLP.html
7,12,F87MTQ8S0519APGA,000002,empty,2020-03-21,王石没猜对 万科增速放缓“已成特别真实的存在”,http://dy.163.com/v2/article/detail/F87MTQ8S0519APGA.html
8,13,F82TSFKF0530I1ON,000002,empty,2020-03-19,业绩未达预期王石被“打脸” 万科还“稳得住”吗？,http://dy.163.com/v2/article/detail/F82TSFKF0530I1ON.html
9,22,FHNQA6LS00259DLP,000002,half,2020-07-17,央视315大杀器！趣头条股价大跳水 万科深夜回应,https://money.163.com/20/0717/09/FHNQA6LS00259DLP.html
10,17,F80E86UC0530KP1K,000002,empty,2020-03-18,3679亿营收下的真实万科：稳健犹在，惊喜不足,http://dy.163.com/v2/article/detail/F80E86UC0530KP1K.html
11,2,FHMFNDTS00259DLP,000002,half,2020-07-16,万科疑遭2000住户集体退房！业主：南昌的楼都在泡水,https://money.163.com/20/0716/20/FHMFNDTS00259DLP.html
12,4,FHGFUCOT00259DLP,000002,half,2020-07-14,鸿海万科柱体开裂属实：地下水浮力增大导致,https://money.163.com/20/0714/13/FHGFUCOT00259DLP.html
13,5,FH8CPJJD0539KRSX,000002,half,2020-07-11,主力资金流出大于2亿以上34只股名单！下周一或大跌,http://dy.163.com/v2/article/detail/FH8CPJJD0539KRSX.html
14,6,FH89J13N0518J3SG,000002,empty,2020-07-11,华润，这家中国“巨无霸”企业是如何炼成的？,http://dy.163.com/v2/article/detail/FH89J13N0518J3SG.html
15,0,FEBHC9MD0519E14O,000002,empty,2020-06-05,万科史上最大一笔“糊涂”账，王石说和人类命运相关,http://dy.163.com/v2/article/detail/FEBHC9MD0519E14O.html
16,1,FEBES6AM00259DLP,000002,half,2020-06-04,杭州万人摇号买房:刚需十几次未中 投资客套现离场,https://money.163.com/20/0605/07/FEBES6AM00259DLP.html
17,0,FB273KEJ00259DLP,000002,half,2020-04-25,前员工质疑万科企业股捐赠违规？专业律师解读来了,https://money.163.com/20/0425/10/FB273KEJ00259DLP.html
18,1,FB0H3OUP00259DLP,000002,half,2020-04-24,万科捐赠调查:9年收益去向不明 管理层规避举牌,https://money.163.com/20/0424/18/FB0H3OUP00259DLP.html
19,2,FAV14G870519MPBR,000002,empty,2020-04-24,万科捐赠调查：九年收益去向不明 管理层规避举牌,http://dy.163.com/v2/article/detail/FAV14G870519MPBR.html
20,4,FASNA0UK00259DLP,000002,half,2020-04-23,万科前员工寄19封举报信:王石等无权向清华捐53亿?,https://money.163.com/20/0423/07/FASNA0UK00259DLP.html
21,3,FE9UHK2000259DLP,000002,half,2020-06-04,王石谈财富：放弃万科的股权让我现在仍旧动力满满,https://money.163.com/20/0604/17/FE9UHK2000259DLP.html
22,9,FDKDIERS00259DLP,000002,half,2020-05-27,万科一小区近400台车被淹 业主：物业说你们可以去告,https://money.163.com/20/0527/08/FDKDIERS00259DLP.html
23,21,VKGOMM0LT,000002,empty,2020-07-17,万科精装房成水帘洞,https://v.163.com/static/3/VKGOMM0LT.html
24,8,FISL1AHO0530KP1K,000002,empty,2020-07-31,万科“拍了拍”泰禾：活下去 ,http://dy.163.com/article/FISL1AHO0530KP1K.html
25,19,FFSC97DT00259DLP,000002,half,2020-06-23,"奇葩！上市公司遭电信诈骗2670万元 万科也""踩雷""",https://money.163.com/20/0624/07/FFSC97DT00259DLP.html
26,8,FAINK6960511BBQE,000002,empty,2020-04-19,万科前5名高管人均年薪酬超过1000万 这还不算经济利润奖金,http://dy.163.com/v2/article/detail/FAINK6960511BBQE.html
27,9,FAB5VNV800259DLP,000002,half,2020-04-16,国家队最新A股布局曝光 新进12股增持2股,https://money.163.com/20/0416/11/FAB5VNV800259DLP.html
28,10,FDFBNV0P0519C6T9,000002,half,2020-05-25,从零开始还是收购？万科回应养猪：考虑各种可能性,http://dy.163.com/v2/article/detail/FDFBNV0P0519C6T9.html
29,12,FCVM2HDG00259DLP,000002,half,2020-05-18,富力地产短债危机一触即发！资金缺口283.66亿元,https://money.163.com/20/0519/07/FCVM2HDG00259DLP.html
30,16,FCMT24JD00259DLP,000002,half,2020-05-15,万科A:提请股东大会授权董事会 回购不超总股本10%股份,https://money.163.com/20/0515/21/FCMT24JD00259DLP.html
31,22,FEOKH0HU05390CEQ,000002,empty,2020-06-10,万科变味了？ 郁亮比王石差在哪儿,http://dy.163.com/v2/article/detail/FEOKH0HU05390CEQ.html
32,23,FEKLB7S900259DLP,000002,half,2020-06-08,万科，你还在乎小股东吗？,https://money.163.com/20/0608/21/FEKLB7S900259DLP.html
33,14,FA31LSPB00259DLP,000002,half,2020-04-13,董明珠抛出60亿大回购 格力万科都在买股藏玄机？,https://money.163.com/20/0413/07/FA31LSPB00259DLP.html
34,16,F9UEJ7FV00259DLP,000002,half,2020-04-11,双休日，梳理大宗交易数据，平复一下被套的心情,https://money.163.com/20/0411/13/F9UEJ7FV00259DLP.html
35,18,F9ONBEVA00259DLP,000002,half,2020-04-09,楼市下行焦虑：地产巨头寻找降落伞,https://money.163.com/20/0409/07/F9ONBEVA00259DLP.html
36,0,FCDMB2JG0519D3BI,000002,empty,2020-05-11,万科养猪 圆通盖房 顺丰送外卖 别人碗里永远最香?,http://dy.163.com/v2/article/detail/FCDMB2JG0519D3BI.html
37,4,FC55VJ1M0519FM90,000002,empty,2020-05-08,万科要在深圳养猪的真实目的 你们可能都猜错了,http://dy.163.com/v2/article/detail/FC55VJ1M0519FM90.html
38,5,FC4FA95A00259DLP,000002,half,2020-05-08,郁亮当“猪倌” 万科贪图肉贵还是想圈地？,https://money.163.com/20/0508/17/FC4FA95A00259DLP.html
39,1,EV4SF43600259DLP,000002,half,2019-11-29,大小非抛售意愿强烈 11月67家公司超亿元减持,https://money.163.com/19/1129/08/EV4SF43600259DLP.html
40,3,EV28B9JN00259DLP,000002,half,2019-11-28,超2800亿地产债下半年集中到期 房企11月密集发债,https://money.163.com/19/1128/07/EV28B9JN00259DLP.html
41,5,EUVR9OTI00259DLP,000002,half,2019-11-27,王石剧透业绩只是个人判断？董明珠曾因漏嘴被点名,https://money.163.com/19/1127/09/EUVR9OTI00259DLP.html
42,18,FCL32L740519QQUP,000002,empty,2020-05-14,万科慷慨捐赠2亿股背后：老员工怒了，管理层笑了,http://dy.163.com/v2/article/detail/FCL32L740519QQUP.html
43,20,FCJ0399600259DLP,000002,half,2020-05-14,"""万科老员工代表""要求分配40%企业股 律师称应先取得法律授权",https://money.163.com/20/0514/09/FCJ0399600259DLP.html
44,24,FCEH1R280530KP1K,000002,empty,2020-05-12,万科物业又包下鼓浪屿 但这项业务盈利还有点尴尬,http://dy.163.com/v2/article/detail/FCEH1R280530KP1K.html
45,10,FC3BSER100259DLP,000002,half,2020-05-07,万科也要养猪了 恒大、万达、阿里、京东早已杀入,https://money.163.com/20/0508/07/FC3BSER100259DLP.html
46,12,FC24J2T600259DLP,000002,half,2020-05-07,地产猪来了！万科要养猪 您看好吗？,https://money.163.com/20/0507/20/FC24J2T600259DLP.html
47,8,F03RE4LI00259DLP,000002,half,2019-12-11,王石：虽然说男儿有泪不轻弹 但我经常掉泪,https://money.163.com/19/1211/08/F03RE4LI00259DLP.html
48,3,F27PS5HG00259DLP,000002,half,2020-01-06,房企巨头2019年成绩单出炉：前四强仍是碧万恒融,https://money.163.com/20/0106/18/F27PS5HG00259DLP.html
49,12,EUR6BAS600259DLP,000002,half,2019-11-25,王石“泄密”业绩万科股价大涨！或涉嫌违规,https://money.163.com/19/1125/13/EUR6BAS600259DLP.html
50,13,EUQGGK5S00259DLP,000002,half,2019-11-25,王石暗讽王思聪二世祖:网上很活跃 看看如今这结果,https://money.163.com/19/1125/07/EUQGGK5S00259DLP.html
51,16,FBC0060P0519JFL1,000002,empty,2020-04-28,茅台万科谁是基金最爱？舍不得卖茅台帮了明星基金,http://dy.163.com/v2/article/detail/FBC0060P0519JFL1.html
52,18,FBA6AKH800259DLP,000002,half,2020-04-28,万科员工致信清华:退还万科股票,https://money.163.com/20/0428/12/FBA6AKH800259DLP.html
53,19,FB9MEUAT00259DLP,000002,half,2020-04-28,万科53亿捐赠清华遭举报 程序上到底是否合规？,https://money.163.com/20/0428/08/FB9MEUAT00259DLP.html
54,17,EVLL531M00259DLP,000002,half,2019-12-05,震惊！宝能系再战江湖 姚振华“杀入”南宁百货,https://money.163.com/19/1205/20/EVLL531M00259DLP.html
55,7,F1QDHIOA00259DLP,000002,half,2020-01-01,姚振华斥16.3亿收购长安PSA 宝能汽车版图再落一子,https://money.163.com/20/0101/13/F1QDHIOA00259DLP.html
56,11,F1CTO99300259DLP,000002,half,2019-12-27,A股减持规模已达去年2倍！万科A被减持金额最多,https://money.163.com/19/1227/07/F1CTO99300259DLP.html
57,23,FB24R2OI00259DLP,000002,half,2020-04-25,刘纪鹏:王石捐赠清华53亿元万科股权可能是无效的,https://money.163.com/20/0425/09/FB24R2OI00259DLP.html
58,24,FB28HDFS00259DLP,000002,half,2020-04-25,前员工质疑万科企业股捐赠违规？律师解读来了,https://money.163.com/20/0425/10/FB28HDFS00259DLP.html
59,21,EVCI09S500259DLP,000002,half,2019-12-02,2800亿地产债集中到期 房企密集发债“输血”,https://money.163.com/19/1202/07/EVCI09S500259DLP.html
60,3,ESL90T8O00259DLP,000002,half,2019-10-29,绿地控股强制员工买房：4000亿目标下频现花式营销,https://money.163.com/19/1029/10/ESL90T8O00259DLP.html
61,17,F0U728Q800259DLP,000002,half,2019-12-21,姚振华再续造车梦 观致之后宝能再接盘长安雪铁龙,https://money.163.com/19/1221/14/F0U728Q800259DLP.html
62,21,F3FU5AOI00259DLP,000002,half,2020-01-22,茅台太牛了！稳稳的占据基金第一重仓股,https://money.163.com/20/0122/08/F3FU5AOI00259DLP.html
63,0,ENT8VH4R00259DLP,000002,half,2019-08-31,房企半年报收官！绿地营收最高 万科最爱“囤房”,https://money.163.com/19/0831/09/ENT8VH4R00259DLP.html
64,22,F0RDH22F00259DLP,000002,half,2019-12-20,一场3000亿争夺战硝烟尽散！宝能系两年减持500亿,https://money.163.com/19/1220/12/F0RDH22F00259DLP.html
65,24,F2M594IU00259DLP,000002,half,2020-01-12,7000亿解禁本月登场 34家公司等待压力测试,https://money.163.com/20/0112/08/F2M594IU00259DLP.html
66,11,EN6I9K0V00259DLP,000002,half,2019-08-22,这些公司已资不抵债 最穷账上现金仅19万元,https://money.163.com/19/0822/13/EN6I9K0V00259DLP.html
67,14,EN4RPPR500259DLP,000002,half,2019-08-21,万科上半年减员近600人 “辞退福利”同比增55%,https://money.163.com/19/0821/21/EN4RPPR500259DLP.html
68,17,ER7A4T8V00259DLP,000002,half,2019-10-11,楼市下行、利润缩水 多家房企掀反腐风暴,https://money.163.com/19/1011/13/ER7A4T8V00259DLP.html
69,20,EQG32LO000259DLP,000002,half,2019-10-02,王石最新访谈来了！大道当然 以梦为马,https://money.163.com/19/1002/13/EQG32LO000259DLP.html
70,22,EQ3ICTUQ00259DLP,000002,half,2019-09-27,"王石田朴珺商业版图:王石""玩水"" 田朴珺主打影视",https://money.163.com/19/0927/16/EQ3ICTUQ00259DLP.html
71,3,ETHKJE4C00258105,000002,half,2019-11-09,潘石屹夫妇彻底告别房地产 早已投资大量海外资产,https://money.163.com/19/1109/10/ETHKJE4C00258105.html
72,17,FBBKAGUQ0519QQUP,000002,empty,2020-04-28,万科的“妖精”都在跑,http://dy.163.com/v2/article/detail/FBBKAGUQ0519QQUP.html
73,23,EQ0BC00B00259DLP,000002,half,2019-09-26,楼市下行 房企拿地分化加剧 这些还在积极补仓,https://money.163.com/19/0926/10/EQ0BC00B00259DLP.html
74,11,ET71H63500259DLP,000002,half,2019-11-05,"超400家房企宣告破产！房地产失去最大的""金主""",https://money.163.com/19/1105/07/ET71H63500259DLP.html
75,1,EMA1SOVQ00259DLP,000002,half,2019-08-11,房企女高管病发猝死!拼事业的人留点时间呵护生命,https://money.163.com/19/0811/12/EMA1SOVQ00259DLP.html
76,4,ELOCR9HN00259DLP,000002,half,2019-08-04,上半年业绩大增!这批股票获北上资金连续4个月加仓,https://money.163.com/19/0804/15/ELOCR9HN00259DLP.html
77,22,DR4NVEKN00258105,000002,half,2018-09-07,绿地控股信用疑云：净负债率偏高 大量诉讼纠纷难解,http://money.163.com/18/0907/21/DR4NVEKN00258105.html
78,17,ET29KG8A00259DLP,000002,half,2019-11-03,万科551亿元广信项目调查：两年多过去仍未收地,https://money.163.com/19/1103/11/ET29KG8A00259DLP.html
79,21,ESSO8FBK00259DLP,000002,half,2019-11-01,潘石屹大撤退？卖楼还债还有钱拿地么？都是钱闹的,https://money.163.com/19/1101/07/ESSO8FBK00259DLP.html
80,8,ELG2A7NK00259DLP,000002,half,2019-08-01,佛山就金域中央楼盘涉嫌违规约谈万科 万科回应,https://money.163.com/19/0801/09/ELG2A7NK00259DLP.html
81,10,ELCANJH10519814N,000002,empty,2019-07-30,5千多业主被万科坑惨 央视喊话：不能店大欺客,http://dy.163.com/v2/article/detail/ELCANJH10519814N.html
82,23,ESQE6NIQ00259DLP,000002,half,2019-10-31,潘石屹抛售资产背后:净利下滑 上半年净负债率44%,https://money.163.com/19/1031/10/ESQE6NIQ00259DLP.html
83,14,EKUTNBDI00259DLP,000002,half,2019-07-25,近300家房企破产 黄奇帆：还要消亡三分之二,https://money.163.com/19/0725/18/EKUTNBDI00259DLP.html
84,21,EKD2VDNC00259DLP,000002,half,2019-07-18,无证售房、宣传不实 中铁、华润、万科楼盘被查,https://money.163.com/19/0718/19/EKD2VDNC00259DLP.html
85,6,EPJUQPOE00259DLP,000002,half,2019-09-21,复盘大家保险挂牌后加减法！股票投资平稳“瘦身”,https://money.163.com/19/0921/15/EPJUQPOE00259DLP.html
86,7,EPJD49MV00259DLP,000002,half,2019-09-21,安邦更名后首批大减持来了:万科50亿 中国建筑60亿,https://money.163.com/19/0921/09/EPJD49MV00259DLP.html
